"","data11.date","data11.flow","data15.flow","data14.flow","data16.flow"
"1",1991-01-01,600.622036,607.948073,607.948073,607.948073
"2",1991-01-02,663.417239,673.387733,673.387733,673.387733
"3",1991-01-03,730.029786,740.444435,740.444435,740.444435
"4",1991-01-04,637.493029,643.827314,643.827206,643.826952
"5",1991-01-05,491.26283,493.956826,493.950638,493.942448
"6",1991-01-06,412.337197,413.233669,413.194208,413.158355
"7",1991-01-07,368.493128,368.350922,368.272983,368.243021
"8",1991-01-08,446.425514,431.055545,457.531495,495.20906
"9",1991-01-09,508.311892,483.409408,526.743379,583.4415
"10",1991-01-10,505.995516,480.304368,527.099138,585.937508
"11",1991-01-11,577.222127,536.352676,612.758671,711.439213
"12",1991-01-12,715.89195,739.62248,907.724383,1283.035781
"13",1991-01-13,795.048514,819.551641,1055.381714,1505.751478
"14",1991-01-14,790.906575,799.177416,1045.513917,1544.577408
"15",1991-01-15,810.090945,892.125618,1247.576998,2102.226664
"16",1991-01-16,785.929808,813.844378,1175.382978,1729.203246
"17",1991-01-17,816.681814,741.116492,964.08413,1163.414667
"18",1991-01-18,816.891852,717.535542,847.535392,1013.455041
"19",1991-01-19,794.872804,687.994961,784.885369,910.101829
"20",1991-01-20,916.640853,756.705141,833.486188,952.754661
"21",1991-01-21,913.353929,753.242652,793.312088,884.664276
"22",1991-01-22,711.833721,611.365535,627.877348,664.865922
"23",1991-01-23,588.015188,521.095746,538.199061,562.779505
"24",1991-01-24,542.785542,485.369669,501.511888,519.294829
"25",1991-01-25,503.955509,455.285888,469.036758,480.803845
"26",1991-01-26,468.495133,427.933179,440.293579,444.452712
"27",1991-01-27,439.277958,404.957288,416.226487,415.13598
"28",1991-01-28,421.174084,389.912614,400.81045,397.706266
"29",1991-01-29,405.132377,376.353269,386.655514,382.345624
"30",1991-01-30,392.264139,365.028901,374.979357,370.284333
"31",1991-01-31,380.310547,354.335782,363.879723,359.116881
"32",1991-02-01,369.291586,344.259243,353.460844,348.86254
"33",1991-02-02,359.17227,335.0418,343.904362,339.435423
"34",1991-02-03,349.490293,326.160509,334.691412,330.459091
"35",1991-02-04,339.773613,317.154016,325.37012,321.401007
"36",1991-02-05,330.299788,308.325021,316.260263,312.455177
"37",1991-02-06,320.968209,299.613538,307.284226,303.594961
"38",1991-02-07,312.830404,291.975904,299.990245,297.684851
"39",1991-02-08,327.379642,306.170296,318.323847,324.368476
"40",1991-02-09,351.378461,329.191383,346.165518,360.53865
"41",1991-02-10,357.030598,334.872478,353.256583,370.028016
"42",1991-02-11,355.959648,333.667678,352.881513,373.087873
"43",1991-02-12,350.189854,327.447782,346.26229,366.38056
"44",1991-02-13,328.850123,307.640325,323.228047,337.202453
"45",1991-02-14,307.023135,287.263147,301.197485,311.873991
"46",1991-02-15,317.158194,295.730277,311.355484,325.53795
"47",1991-02-16,322.553925,300.873721,315.422963,330.460467
"48",1991-02-17,314.512326,293.383718,307.990415,323.15343
"49",1991-02-18,319.248669,296.069177,313.181855,331.393698
"50",1991-02-19,318.609176,295.92571,312.650324,330.158464
"51",1991-02-20,317.988976,297.171261,312.741139,328.813823
"52",1991-02-21,318.253954,298.222716,313.854723,330.883852
"53",1991-02-22,313.843578,294.340906,310.346482,327.915842
"54",1991-02-23,312.63322,292.753854,308.837678,326.874529
"55",1991-02-24,305.800665,286.454203,301.914551,319.723469
"56",1991-02-25,288.495884,270.906742,284.871055,300.430896
"57",1991-02-26,279.870853,263.256982,277.385785,293.843457
"58",1991-02-27,302.488894,285.528018,303.390215,328.035797
"59",1991-02-28,318.95589,302.265878,322.155584,350.917762
"60",1991-03-01,315.36042,299.422792,319.0044,348.300633
"61",1991-03-02,318.133484,302.312503,323.19001,356.854912
"62",1991-03-03,367.01853,343.653069,374.024704,429.63971
"63",1991-03-04,458.127847,417.380284,469.828805,577.754856
"64",1991-03-05,734.485617,643.080832,770.297163,1018.853412
"65",1991-03-06,885.310605,770.221373,929.458267,1236.282971
"66",1991-03-07,936.783309,804.403096,987.08921,1356.016752
"67",1991-03-08,1093.490325,927.804254,1160.276549,1596.529407
"68",1991-03-09,864.433898,757.512029,900.644727,1132.716713
"69",1991-03-10,559.052884,507.830076,568.639495,662.726015
"70",1991-03-11,452.125469,411.406575,456.958951,533.155918
"71",1991-03-12,401.736913,369.043473,403.617328,459.158385
"72",1991-03-13,357.72404,332.426016,357.330127,395.922031
"73",1991-03-14,357.474216,334.164168,358.50107,396.206598
"74",1991-03-15,367.908105,352.156526,377.522322,420.046531
"75",1991-03-16,373.420723,359.913845,386.053406,432.167786
"76",1991-03-17,374.488642,361.748812,388.629623,435.999286
"77",1991-03-18,370.128023,362.207934,388.88035,440.740096
"78",1991-03-19,425.357981,398.397222,435.651774,509.879417
"79",1991-03-20,463.325261,417.312371,458.981015,536.889881
"80",1991-03-21,460.251391,407.072822,446.36943,518.122762
"81",1991-03-22,505.647591,435.258555,487.073715,580.442299
"82",1991-03-23,525.917087,453.845285,510.253234,609.210291
"83",1991-03-24,587.776292,514.803552,585.541924,711.459713
"84",1991-03-25,631.353308,557.431812,635.658704,773.325151
"85",1991-03-26,641.199054,564.035779,647.438847,800.190451
"86",1991-03-27,725.112266,629.862465,740.587836,944.60057
"87",1991-03-28,687.43082,606.041371,699.761493,858.234654
"88",1991-03-29,526.117599,476.190631,527.344835,607.853821
"89",1991-03-30,575.925957,506.698275,587.755014,741.606736
"90",1991-03-31,729.980793,637.88088,753.139174,961.505636
"91",1991-04-01,764.407819,670.055487,788.537417,1002.514901
"92",1991-04-02,846.743244,724.263345,882.342908,1186.572345
"93",1991-04-03,859.784883,745.389801,890.153556,1136.602755
"94",1991-04-04,672.518076,604.201534,683.602659,801.161821
"95",1991-04-05,516.541545,469.832122,519.501796,599.476906
"96",1991-04-06,454.426403,414.763156,454.976138,520.27656
"97",1991-04-07,409.980452,377.071633,408.114692,457.550631
